name,href
陳全壽,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%85%A8%E5%A3%BD
陳冠廷 (政治人物),https://zh.wikipedia.org/wiki/%E9%99%B3%E5%86%A0%E5%BB%B7_(%E6%94%BF%E6%B2%BB%E4%BA%BA%E7%89%A9)
陳東騰,https://zh.wikipedia.org/wiki/%E9%99%B3%E6%9D%B1%E9%A8%B0
陳繼盛 (民國),https://zh.wikipedia.org/wiki/%E9%99%B3%E7%B9%BC%E7%9B%9B_(%E6%B0%91%E5%9C%8B)
蔡介雄,https://zh.wikipedia.org/wiki/%E8%94%A1%E4%BB%8B%E9%9B%84
蔡見興,https://zh.wikipedia.org/wiki/%E8%94%A1%E8%A6%8B%E8%88%88
張天欽,https://zh.wikipedia.org/wiki/%E5%BC%B5%E5%A4%A9%E6%AC%BD
張景森,https://zh.wikipedia.org/wiki/%E5%BC%B5%E6%99%AF%E6%A3%AE
張國龍,https://zh.wikipedia.org/wiki/%E5%BC%B5%E5%9C%8B%E9%BE%8D
張漢東 (1960年),https://zh.wikipedia.org/wiki/%E5%BC%B5%E6%BC%A2%E6%9D%B1_(1960%E5%B9%B4)
赵怡翔,https://zh.wikipedia.org/wiki/%E8%B5%B5%E6%80%A1%E7%BF%94
陳時中,https://zh.wikipedia.org/wiki/%E9%99%B3%E6%99%82%E4%B8%AD
鄭孟洳,https://zh.wikipedia.org/wiki/%E9%84%AD%E5%AD%9F%E6%B4%B3
鄭朝方,https://zh.wikipedia.org/wiki/%E9%84%AD%E6%9C%9D%E6%96%B9
鄭貴元,https://zh.wikipedia.org/wiki/%E9%84%AD%E8%B2%B4%E5%85%83
王崇欽,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%B4%87%E6%AC%BD
陳嘉爵,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%98%89%E7%88%B5
陳文彬,https://zh.wikipedia.org/wiki/%E9%99%B3%E6%96%87%E5%BD%AC
陈文政 (军事学家),https://zh.wikipedia.org/wiki/%E9%99%88%E6%96%87%E6%94%BF_(%E5%86%9B%E4%BA%8B%E5%AD%A6%E5%AE%B6)
陳世凱,https://zh.wikipedia.org/wiki/%E9%99%B3%E4%B8%96%E5%87%B1
陳麗貞,https://zh.wikipedia.org/wiki/%E9%99%B3%E9%BA%97%E8%B2%9E
江蓋世,https://zh.wikipedia.org/wiki/%E6%B1%9F%E8%93%8B%E4%B8%96
邱義仁,https://zh.wikipedia.org/wiki/%E9%82%B1%E7%BE%A9%E4%BB%81
邱垂正,https://zh.wikipedia.org/wiki/%E9%82%B1%E5%9E%82%E6%AD%A3
張千駿,https://zh.wikipedia.org/wiki/%E5%BC%B5%E5%8D%83%E9%A7%BF
