,姓名,生日,aka,性別,職業,婚姻狀態
0,顏行書,1976-09-08,None,None,None,
1,王少偉,1976-12-18,少爺,M,男艺人,
2,張佑天,1979-08-22,祝釩剛,M,男歌手,
3,陳建騏,1973-02-03,None,None,幕后,
4,陳珊妮,1970-07-19,公主、珊妮老師,W,女歌手,
5,郭彥甫 (Angus),1981-12-31,None,M,男艺人,
6,林韋伶,1980-02-01,陳垣妧,W,女艺人,
7,周幼婷,1977-06-10,None,W,女演员,
8,郭婷婷,1978-11-04,渟渟,W,女艺人,
9,孫沁岳,1986-07-15,冷笑話王子,M,男演员,
10,言明澔,1986-04-04,簡宏霖,M,男艺人,
11,李迪恩,1991-09-04,None,M,男演员,
12,張洛偍,1992-07-25,張珞褆,M,男演员,
13,黃小柔,1981-10-13,滷蛋,W,女艺人,
14,楊丞琳,1984-06-04,水母、老楊、可愛教主、全能天后、丞哥、琳妹,W,女艺人,
15,張棋惠,1984-06-05,張藝慧→張棋惠,W,女艺人,
16,孫協志,1978-02-20,鞋子、孫三藏、后羿孫、后羿的後裔,M,男艺人,
17,王仁甫,1980-08-28,FF、甫甫、過關機器、心機甫、歪道甫,M,男歌手,
18,許孟哲,1985-07-27,小飛象，5%公、萌哲,M,男艺人,
19,大S,1976-10-06,徐熙媛,W,女艺人,
20,小S,1978-06-14,徐熙娣,W,女艺人,
21,Lucia,1996-02-26,陳盈燕,W,女艺人,
22,焦安溥,1981-05-30,焦安溥,W,女歌手,
23,沈建宏,1992-11-09,Kris .K（크리스 케이）,M,男歌手,
24,白吉勝,1979-08-02,阿Ben,M,男歌手,
25,黃柏文,1978-07-09,黃丹尼,M,男歌手,
26,郭源元,1988-10-10,阿源,W,女艺人,
27,宋蘋恩,1993-09-26,殷苡娟,W,女艺人,
28,書那娜,1994-01-12,羅喬恩,W,女艺人,
29,廖人帥,1983-11-13,None,None,导演,
30,黃尹宣,1983-12-20,EASON,M,男艺人,
31,林柏昇,1984-02-21,瘋面仔、野人,M,男艺人,
32,高爾宣,1997-06-14,None,M,男歌手,
33,婁峻碩,1993-09-14,查個毛狼王子皮蛋邪惡南瓜聖誕南瓜音速小子,M,男艺人,
34,RĒD°芮德,1988-07-13,洪乙玲,W,女歌手,
35,楊梓鑫,1996-11-15,三金、小王子、幫主、快乐病毒,M,男歌手,
36,簡廷芮,1992-03-09,Dewi、普普、美尻女神,W,女艺人,
37,安婕希,1992-01-18,陳奕安,None,歌手,
38,李毓芬,1985-05-11,阿芬、阿昏、芬芬、芬老大,W,女艺人,
39,郭雪芙,1988-06-30,阿芙,W,女艺人,
40,宋米秦,1983-03-23,宋米秦,W,女艺人,
41,吳汶芳,1990-03-23,天籟美聲、花仙子、純質女聲,W,女歌手,
42,謝震廷,1993-10-10,謝震廷,M,男歌手,
43,張書偉,1980-11-04,張書偉,M,男艺人,
44,坤達,1982-03-18,謝坤達,M,男演员,
45,唐振剛,1983-10-13,小剛,M,男演员,
46,郭葦昀,1981-10-02,Toro,M,男艺人,
47,夏語心,1986-01-02,呂毓凌,W,女艺人,
48,林舒語,1990-05-29,林筱蓉,W,女艺人,
49,詹雯婷,1981-08-27,"
Faye
飛兒
大哥
詹雯甜
",W,女艺人,
50,陳建寧,1971-10-28,None,None,制作人,
51,黃漢青,1980-03-11,阿沁,M,男歌手,
52,Lydia,1996-09-07,韓睿,W,女歌手,
53,言承旭,1977-01-01,廖洋震,M,男艺人,
54,吳建豪,1978-08-07,V.DUBB,M,男艺人,
55,朱孝天,1979-01-15,None,M,男演员,
56,周渝民,1981-06-09,周育民,M,男艺人,
57,趙之璧,1973-04-20,小畢,W,女歌手,
58,元若藍,1986-05-28,嚴若蘭,W,女歌手,
59,宋念宇,1983-11-22,宋念宇,M,男艺人,
60,樓心潼,1986-03-02,樓心潼,W,女艺人,
