name,href
常中天,https://zh.wikipedia.org/wiki/%E5%B8%B8%E4%B8%AD%E5%A4%A9
陳明陽,https://zh.wikipedia.org/wiki/%E9%99%B3%E6%98%8E%E9%99%BD
陳麗玲,https://zh.wikipedia.org/wiki/%E9%99%B3%E9%BA%97%E7%8E%B2
高新武,https://zh.wikipedia.org/wiki/%E9%AB%98%E6%96%B0%E6%AD%A6
郭冠英,https://zh.wikipedia.org/wiki/%E9%83%AD%E5%86%A0%E8%8B%B1
侯冠群,https://zh.wikipedia.org/wiki/%E4%BE%AF%E5%86%A0%E7%BE%A4
林明正 (新黨黨員),https://zh.wikipedia.org/wiki/%E6%9E%97%E6%98%8E%E6%AD%A3_(%E6%96%B0%E9%BB%A8%E9%BB%A8%E5%93%A1)
李胜峰,https://zh.wikipedia.org/wiki/%E6%9D%8E%E8%83%9C%E5%B3%B0
潘懷宗,https://zh.wikipedia.org/wiki/%E6%BD%98%E6%87%B7%E5%AE%97
邱毅,https://zh.wikipedia.org/wiki/%E9%82%B1%E6%AF%85
User:U8782433/沙盒,https://zh.wikipedia.org/wiki/User:U8782433/%E6%B2%99%E7%9B%92
王炳忠,https://zh.wikipedia.org/wiki/%E7%8E%8B%E7%82%B3%E5%BF%A0
楊泰順,https://zh.wikipedia.org/wiki/%E6%A5%8A%E6%B3%B0%E9%A0%86
仉桂美,https://zh.wikipedia.org/wiki/%E4%BB%89%E6%A1%82%E7%BE%8E
侯漢廷,https://zh.wikipedia.org/wiki/%E4%BE%AF%E6%BC%A2%E5%BB%B7
張勤 (新聞工作者),https://zh.wikipedia.org/wiki/%E5%BC%B5%E5%8B%A4_(%E6%96%B0%E8%81%9E%E5%B7%A5%E4%BD%9C%E8%80%85)
新党三杰,https://zh.wikipedia.org/wiki/%E6%96%B0%E5%85%9A%E4%B8%89%E6%9D%B0
李慶元 (1958年),https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%85%B6%E5%85%83_(1958%E5%B9%B4)
楊世光,https://zh.wikipedia.org/wiki/%E6%A5%8A%E4%B8%96%E5%85%89
楊敏華,https://zh.wikipedia.org/wiki/%E6%A5%8A%E6%95%8F%E8%8F%AF
沈采穎,https://zh.wikipedia.org/wiki/%E6%B2%88%E9%87%87%E7%A9%8E
蘇恆,https://zh.wikipedia.org/wiki/%E8%98%87%E6%81%86
賀樺,https://zh.wikipedia.org/wiki/%E8%B3%80%E6%A8%BA
趙家蓉,https://zh.wikipedia.org/wiki/%E8%B6%99%E5%AE%B6%E8%93%89
陳彥伯,https://zh.wikipedia.org/wiki/%E9%99%B3%E5%BD%A5%E4%BC%AF
黃乃芸,https://zh.wikipedia.org/wiki/%E9%BB%83%E4%B9%83%E8%8A%B8
張世良,https://zh.wikipedia.org/wiki/%E5%BC%B5%E4%B8%96%E8%89%AF
陳一新 (1950年),https://zh.wikipedia.org/wiki/%E9%99%B3%E4%B8%80%E6%96%B0_(1950%E5%B9%B4)
陳癸淼,https://zh.wikipedia.org/wiki/%E9%99%B3%E7%99%B8%E6%B7%BC
馮滬祥,https://zh.wikipedia.org/wiki/%E9%A6%AE%E6%BB%AC%E7%A5%A5
馮定國,https://zh.wikipedia.org/wiki/%E9%A6%AE%E5%AE%9A%E5%9C%8B
傅崐成,https://zh.wikipedia.org/wiki/%E5%82%85%E5%B4%90%E6%88%90
高惠宇,https://zh.wikipedia.org/wiki/%E9%AB%98%E6%83%A0%E5%AE%87
郝龍斌,https://zh.wikipedia.org/wiki/%E9%83%9D%E9%BE%8D%E6%96%8C
謝啟大,https://zh.wikipedia.org/wiki/%E8%AC%9D%E5%95%9F%E5%A4%A7
趙少康,https://zh.wikipedia.org/wiki/%E8%B6%99%E5%B0%91%E5%BA%B7
李炷烽,https://zh.wikipedia.org/wiki/%E6%9D%8E%E7%82%B7%E7%83%BD
李慶華,https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%85%B6%E8%8F%AF
錢達,https://zh.wikipedia.org/wiki/%E9%8C%A2%E9%81%94
蔡正揚,https://zh.wikipedia.org/wiki/%E8%94%A1%E6%AD%A3%E6%8F%9A
吳成典,https://zh.wikipedia.org/wiki/%E5%90%B3%E6%88%90%E5%85%B8
營志宏,https://zh.wikipedia.org/wiki/%E7%87%9F%E5%BF%97%E5%AE%8F
郁慕明,https://zh.wikipedia.org/wiki/%E9%83%81%E6%85%95%E6%98%8E
鄭龍水,https://zh.wikipedia.org/wiki/%E9%84%AD%E9%BE%8D%E6%B0%B4
周陽山,https://zh.wikipedia.org/wiki/%E5%91%A8%E9%99%BD%E5%B1%B1
朱惠良,https://zh.wikipedia.org/wiki/%E6%9C%B1%E6%83%A0%E8%89%AF
周荃,https://zh.wikipedia.org/wiki/%E5%91%A8%E8%8D%83
賴來焜,https://zh.wikipedia.org/wiki/%E8%B3%B4%E4%BE%86%E7%84%9C
赖士葆,https://zh.wikipedia.org/wiki/%E8%B5%96%E5%A3%AB%E8%91%86
鍾新財,https://zh.wikipedia.org/wiki/%E9%8D%BE%E6%96%B0%E8%B2%A1
Template:新黨黨魁,https://zh.wikipedia.org/wiki/Template:%E6%96%B0%E9%BB%A8%E9%BB%A8%E9%AD%81
王建煊,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%BB%BA%E7%85%8A
