,姓名,生日,aka,性別,職業,婚姻狀態
0,陳為廷,1990-12-11,黃暐傑,None,政治人物,0
1,周偉航,1976-07-23,人渣文本,None,政治人物,0
2,鄭宇焱,1992-03-29,None,男,政治人物,0
3,林于凱,1981-04-12,None,男,政治人物,0
4,廖子齊,1985-07-16,None,女,政治人物,0
5,彭盛韶,1984-05-11,None,男性,政治人物,1
6,宋國鼎,1981-01-22,None,男,政治人物,0
7,唐聖捷,1989-12-04,小捷,男,政治人物,0
8,吳佩芸,1992-04-10,None,女,政治人物,0
9,陳孟秀,1975-11-21,None,女性,政治人物,0
10,陳志明,1976-06-12,None,男,政治人物,0
11,王奕凱,1985-06-29,None,男,政治人物,0
12,王景弘,1986-12-23,None,男,政治人物,0
13,林彥甫,1989-11-28,None,男,政治人物,0
14,楊智達,1991-09-04,None,男,政治人物,0
15,葉湘怡,1977-09-19,葉湘怡,None,政治人物,1
16,曾柏瑜,1991-11-08,None,女,政治人物,0
17,劉仕傑,1980-02-09,小泰山、Jerry、外交暖男、士北陳建州、護台胖犬,男,政治人物,0
18,吳韋達,1984-02-27,None,男,政治人物,0
19,呂宇晟,1989-10-14,None,None,政治人物,0
20,廖郁賢,1991-09-28,None,女,政治人物,1
21,張衞航,1976-09-30,None,男,政治人物,0
22,林佳瑋,1986-02-18,None,None,政治人物,0
23,林子盟,1986-08-07,None,男,政治人物,0
24,林易瑩,1992-07-07,None,女,政治人物,1
25,柯一正,1949-02-10,None,None,政治人物,1
26,王幗英,1963-09-03,None,女,政治人物,0
27,白卿芬,1970-11-25,None,女性,政治人物,0
28,簡智翔,1980-08-16,None,男,政治人物,0
29,蔡惠婷,1982-01-03,None,女,政治人物,0
30,詹智鈞,1976-09-01,None,男,政治人物,0
31,賴嘉倫,1980-08-22,None,男性,政治人物,0
32,趙芸菁,1982-12-12,None,女,政治人物,0
33,連郁婷,1987-11-10,None,女性,政治人物,0
34,關心羚,1982-06-04,None,女,政治人物,0
35,陳廷豪,1989-01-12,None,None,政治人物,0
36,陳惠敏,1972-10-21,None,女性,政治人物,0
37,陳薇仲,1990-10-07,None,女,政治人物,0
38,高鈺婷,1985-03-28,None,女性,政治人物,0
39,黃國昌,1973-08-19,None,男,政治人物,1
40,陳椒華,1959-10-29,None,女,政治人物,1
41,邱顯智,1976-04-29,None,男性,政治人物,1
42,徐永明,1966-05-12,None,男,政治人物,0
43,林昶佐,1976-02-01,None,男,政治人物,1
44,洪慈庸,1982-12-20,None,女,政治人物,1
45,鄭秀玲,1955-10-09,None,女,政治人物,0
46,高潞·以用·巴魕剌,1977-04-09,None,女,政治人物,0
47,王婉諭,1979-04-26,None,女,政治人物,1
