,姓名,生日,aka,性別,職業,婚姻狀態
0,陳清龍,1965-03-29,None,男,政治人物,0
1,傅家賢,1966-09-09,None,男,政治人物,0
2,何啟聖,1964-02-04,None,None,政治人物,0
3,鄧家基,1956-05-24,None,男,政治人物,0
4,吳益政,1963-04-04,None,男,政治人物,0
5,吳武明,1957-06-13,None,男,政治人物,1
6,吳崑玉,1964-04-25,None,男,政治人物,0
7,周五六,1950-08-08,None,男,政治人物,0
8,張碩文,1971-05-07,None,男,政治人物,1
9,宣明智,1952-02-26,None,男,政治人物,1
10,康仁俊,1973-06-26,None,男,政治人物,0
11,李正皓,1984-06-20,None,男,政治人物,0
12,陳蓋武,1974-04-19,None,男,政治人物,0
13,劉宥彤,1971-01-10,None,女,政治人物,0
14,滕西華,1973-01-23,None,女,政治人物,0
15,黃珊珊,1969-10-18,None,女,政治人物,2
16,曹原彰,1948-05-24,None,男,政治人物,0
17,陳劍松,1968-02-01,None,男,政治人物,0
18,陳志彬,1949-04-01,None,男,政治人物,0
19,陳怡潔,1979-09-09,None,女,政治人物,0
20,陳朝容,1956-02-25,None,男,政治人物,1
21,周陳秀霞,1958-01-14,None,女,政治人物,1
22,鐘紹和,1956-01-11,None,男,政治人物,0
23,張顯耀,1963-11-06,None,男,政治人物,0
24,陳福海,1963-06-03,None,男,政治人物,1
25,傅崐萁,1962-05-08,None,男,政治人物,1
26,謝國樑,1975-10-05,None,男,政治人物,1
27,徐耀昌,1955-06-30,None,男,政治人物,0
28,黃義交,1953-03-12,None,男,政治人物,0
29,高思博,1968-10-31,None,男,政治人物,1
30,劉憶如,1955-04-07,None,女,政治人物,1
31,李桐豪,1955-10-07,None,男,政治人物,0
32,李慶華,1948-12-03,None,男,政治人物,0
33,林德福,1953-10-23,None,男,政治人物,1
34,林春德,1947-07-05,None,男,政治人物,0
35,林正二,1952-01-02,None,男,政治人物,0
36,林郁方,1951-03-15,None,男,政治人物,0
37,李永萍,1964-07-23,None,女,政治人物,0
38,呂學樟,1952-11-05,None,男,政治人物,0
39,李鴻鈞,1959-05-11,None,男,政治人物,1
40,羅淑蕾,1952-11-28,None,女,政治人物,0
41,邱毅,1956-05-08,None,男,政治人物,2
42,沈智慧,1957-09-16,None,女,政治人物,0
43,孫大千,1969-08-28,None,男,政治人物,3
44,吳清池,1949-05-20,None,男,政治人物,0
45,謝章捷,1958-09-24,None,男,政治人物,0
46,鄭美蘭,1957-10-28,None,女,政治人物,0
47,鄭金玲,1946-08-06,None,女,政治人物,1
48,周錫瑋,1958-03-11,None,男,政治人物,1
49,瓦歷斯·貝林,1952-08-08,蔡貴聰,男,政治人物,0
50,秦慧珠,1955-03-27,None,女,政治人物,1
51,陳振盛,1950-01-25,None,男,政治人物,0
