,姓名,生日,aka,性別,職業,婚姻狀態
0,敖博勝,1976-09-14,None,男,政治人物,0
1,張凱鈞,1977-12-31,None,男,政治人物,0
2,陳思宇,1986-09-04,None,女,政治人物,0
3,張哲揚,1954-09-16,None,男,政治人物,0
4,謝立功,1961-05-10,None,男,政治人物,1
5,黃瀞瑩,1992-06-10,None,女,政治人物,0
6,何景榮,1977-12-24,None,男,政治人物,0
7,李縉穎,1985-01-08,None,男,政治人物,1
8,劉奕霆,1986-12-08,None,男,政治人物,0
9,蔡宜芳,1990-12-03,None,女,政治人物,0
10,吳益政,1963-04-04,None,男,政治人物,0
11,徐立信,1975-04-03,None,男,政治人物,0
12,周芳如,1966-03-28,None,女,政治人物,0
13,吳欣盈,1978-05-18,None,女性,政治人物,2
14,吳達偉,1984-07-21,Z9、zzzzzzzzzzzzzzzzzzzzzzzzzzz9、Z9大神、神龍,None,政治人物,1
15,張幸松,1958-11-06,None,男,政治人物,0
16,張志豪,1972-04-11,None,男,政治人物,0
17,張睿倉,1984-09-29,None,男,政治人物,0
18,李佳玲,1978-01-21,None,女,政治人物,0
19,李偉華,1960-07-18,None,男,政治人物,0
20,李旻蔚,1988-11-04,None,女,政治人物,0
21,林國成,1957-08-20,None,男,政治人物,1
22,林珍羽,1987-04-14,None,女,政治人物,0
23,林碩彥,1976-01-23,None,男,政治人物,0
24,楊博宇,1980-09-08,None,男,政治人物,0
25,楊寶楨,1989-12-17,None,女,政治人物,0
26,羅鼎城,1976-08-05,None,男,政治人物,0
27,莊貽量,1973-01-25,None,男,政治人物,0
28,謝文卿,1971-07-15,None,男,政治人物,0
29,陳允萍,1969-05-12,None,男,政治人物,0
30,陳泓維,1987-05-08,None,男,政治人物,0
31,顏耀星,1958-10-16,None,男,政治人物,0
32,魏佑任,1992-11-02,None,男,政治人物,0
33,張其祿,1968-03-28,None,男,政治人物,0
34,高虹安,1984-01-25,None,女,政治人物,0
35,賴香伶,1968-01-05,None,女,政治人物,1
36,蔡壁如,1964-03-11,None,女,政治人物,0
37,邱臣遠,1981-12-11,None,男,政治人物,0
38,柯文哲,1959-08-06,None,男,政治人物,1
39,柯昱安,1988-08-14,None,男,政治人物,0
40,許甫,1982-08-16,None,None,政治人物,1
