,姓名,生日,aka,性別,職業,婚姻狀態
0,陳柏惟,1985-07-10,None,男,政治人物,1
1,何澄輝,1971-06-23,None,男,政治人物,0
2,李欣翰,1985-01-30,None,男,政治人物,0
3,洪正,1991-08-05,None,None,政治人物,0
4,藍士博,1982-12-15,None,None,政治人物,0
5,陳信諭,1988-06-07,None,None,政治人物,0
6,陳冠榮,1980-11-22,None,男,政治人物,0
7,陳奕齊,1972-08-27,None,男,政治人物,0
8,陳子瑜,1982-12-10,None,男,政治人物,0
9,顏銘緯,1996-05-03,None,男,政治人物,0
10,蕭筱臻,1979-08-21,None,女,政治人物,0
11,蘇盈安,1993-10-10,None,女,政治人物,0
12,王映心,1991-01-15,None,女,政治人物,0
13,吳依潔,1992-07-10,None,女,政治人物,0
14,吳欣岱,1987-07-01,None,女性,政治人物,0
15,成令方,1951-12-24,None,女性,政治人物,0
16,李雨蓁,1987-12-15,None,女,政治人物,0
17,楊佩樺,1992-01-23,None,女,政治人物,0
18,蘇鈺雯,1990-11-22,None,女,政治人物,0
19,陳嘉伶,1992-04-29,None,女,政治人物,0
20,黃敬雅,1988-10-26,None,女,政治人物,0
