,姓名,生日,aka,性別,職業,婚姻狀態
0,陳鴻基,1950-09-30,None,男,政治人物,0
1,高基讚,1957-11-13,None,男,政治人物,0
2,李安妮,1954-06-09,None,女,政治人物,1
3,劉益昌,1956-02-08,None,男,政治人物,0
4,劉一德,1960-04-15,None,男,政治人物,0
5,歐陽瑞蓮,1976-02-26,None,女,政治人物,0
6,蔡永泉,1952-01-21,None,男,政治人物,0
7,黃宗源,1950-12-14,None,男,政治人物,1
8,林志嘉,1958-03-31,None,男,政治人物,1
9,蘇進強,1953-04-05,履彊,男,政治人物,0
10,周倪安,1972-10-07,None,女,政治人物,0
11,許忠信,1965-06-01,None,男,政治人物,0
12,黃文玲,1969-08-11,None,女,政治人物,1
13,賴幸媛,1956-11-09,None,女,政治人物,0
14,廖本煙,1956-09-26,None,男,政治人物,1
15,林世嘉,1969-04-15,None,女,政治人物,0
16,林志隆,1959-01-22,None,男,政治人物,0
17,羅志明,1957-11-13,None,男,政治人物,0
18,錢林慧君,1947-12-18,None,女,政治人物,1
19,吳東昇,1953-07-14,None,男,政治人物,0
20,王政中,1962-10-10,None,男,政治人物,0
21,葉津鈴,1947-03-14,None,女,政治人物,0
22,曾燦燈,1953-02-02,None,男,政治人物,0
23,何敏豪,1958-07-10,None,男,政治人物,0
24,賴振昌,1958-01-15,None,男,政治人物,0
25,陳建銘,1961-07-24,None,男,政治人物,1
26,黃適卓,1966-08-14,None,男,政治人物,0
