,姓名,生日,aka,性別,職業,婚姻狀態
0,陳冠廷,1986-04-05,None,男,政治人物,1
1,蔡見興,1952-07-30,None,男,政治人物,0
2,张天钦,1954-03-08,None,男,政治人物,1
3,張景森,1959-10-08,None,男,政治人物,1
4,張漢東,1960-02-08,None,None,政治人物,0
5,赵怡翔,1988-07-31,None,男,政治人物,1
6,陳時中,1953-12-27,None,男,政治人物,1
7,鄭孟洳,1990-12-14,None,女,政治人物,0
8,鄭朝方,1980-02-19,None,男,政治人物,0
9,王崇欽,1965-03-10,None,男,政治人物,0
10,陳文彬,1969-03-10,None,None,政治人物,0
11,陳世凱,1977-05-12,None,男,政治人物,0
12,陳麗貞,1958-07-06,None,女,政治人物,0
13,江蓋世,1958-02-22,None,男,政治人物,0
14,邱義仁,1950-05-09,None,男,政治人物,0
15,張國鑫,1961-01-12,None,男,政治人物,0
16,張瑞山,1955-11-18,None,男,政治人物,0
17,邱名璋,1974-02-25,None,男,政治人物,0
18,陳義信,1963-08-15,None,None,政治人物,0
19,陳芳明,1947-06-10,陳嘉農、施敏輝、宋冬陽、柯劍星、方方,男,政治人物,0
20,陳明通,1955-07-11,None,None,政治人物,1
21,方來進,1951-12-03,None,男,政治人物,0
22,高植澎,1954-05-28,None,男,政治人物,0
23,徐定禎,1961-01-03,None,男性,政治人物,0
24,黃奕睿,1967-07-21,None,男,政治人物,0
25,何敏誠,1955-01-07,None,男,政治人物,0
26,洪平朗,1955-07-24,None,男,政治人物,0
27,鴻義章,1950-12-23,None,男,政治人物,0
28,謝志偉,1955-01-06,None,男,政治人物,0
29,許應深,1948-05-10,None,男,政治人物,0
30,黃承國,1965-12-11,None,男,政治人物,0
31,黃偉哲,1963-09-26,None,男,政治人物,1
32,黃景熙,1959-05-15,None,男,政治人物,0
33,黃仁杼,1954-01-05,None,男,政治人物,1
34,黃宗源,1950-12-14,None,男,政治人物,1
35,何敏豪,1958-07-10,None,男,政治人物,0
36,黃志芳,1958-09-14,None,男,政治人物,1
37,夷將·拔路兒,1960-12-02,劉文雄,男,政治人物,0
38,江聰淵,1969-10-23,None,男,政治人物,0
39,廖宜琨,1982-07-05,None,男,政治人物,0
40,賴美惠,1958-11-08,None,女,政治人物,1
41,李喬如,1957-06-24,Lee Chiao Ju,女性,政治人物,0
42,李逸洋,1955-06-28,None,男,政治人物,1
43,林德福,1955-02-04,None,男,政治人物,0
44,林文淵,1952-08-07,None,男,政治人物,1
45,林智堅,1975-05-27,None,男,政治人物,1
46,林錫耀,1961-12-25,None,男,政治人物,1
47,劉國隆,1959-11-26,None,男,政治人物,0
48,劉守成,1951-03-20,None,男,政治人物,1
49,李世斌,1962-05-05,None,男,政治人物,1
50,李顯榮,1947-07-23,None,男,政治人物,0
51,黃李月琴,1960-03-02,None,女,政治人物,0
52,呂子昌,1958-09-25,None,男,政治人物,0
53,呂維胤,1981-06-12,None,男,政治人物,1
55,李建昌,1962-08-22,None,男,政治人物,0
56,林世賢,1959-06-01,None,男,政治人物,0
57,林聰賢,1962-02-22,None,男,政治人物,1
58,彭俊豪,1982-08-15,None,男,政治人物,0
59,邱建富,1960-11-29,None,男,政治人物,0
60,史哲,1969-07-14,None,男,政治人物,1
61,沈震東,1993-04-11,None,男,政治人物,0
