,姓名,生日,aka,性別,職業,婚姻狀態
0,蔣乃辛,1948-09-24,None,男,政治人物,0
1,陳筑藩,1946-09-25,None,男,政治人物,0
2,蔡家福,1956-05-04,None,男,政治人物,0
3,蔡錦隆,1958-03-01,None,男,政治人物,0
4,張通榮,1949-02-04,None,None,政治人物,1
5,張斯綱,1971-09-09,None,男,政治人物,0
6,陳以信,1972-10-31,None,男,政治人物,0
7,陳偉杰,1978-09-11,None,男,政治人物,0
8,陳士魁,1952-04-08,None,男性,政治人物,0
9,陳威仁,1953-05-24,None,男,政治人物,0
10,陳根德,1956-01-18,None,男,政治人物,0
11,陳樹,1954-03-10,None,男,政治人物,0
12,陳炳甫,1971-04-01,None,男,政治人物,0
13,陳義洲,1952-09-01,None,男,政治人物,0
14,陳萬得,1953-08-10,None,男,政治人物,1
15,陳裕璋,1955-09-18,None,男,政治人物,0
16,江啟臣,1972-03-02,Johnny Chiang（英文名）,男,政治人物,1
17,邱文彥,1953-07-17,None,男,政治人物,0
18,邱鏡淳,1949-12-08,None,男,政治人物,0
19,周守訓,1966-08-27,None,男,政治人物,1
20,莊子富,1971-03-21,None,男,政治人物,0
21,朱立倫,1961-06-07,None,男,政治人物,1
22,張麗善,1964-01-01,None,女,政治人物,1
23,張慶忠,1951-12-14,None,男,政治人物,1
24,曹壽民,1951-04-18,None,男,政治人物,0
25,莊啟旺,1954-03-01,None,男,政治人物,0
26,趙怡,1950-04-12,None,男,政治人物,1
27,丁仁方,1959-06-14,None,男,政治人物,0
28,范姜泰基,1970-09-12,None,None,政治人物,1
29,費鴻泰,1954-07-07,None,男,政治人物,1
30,高朗,1957-03-11,None,男,政治人物,1
31,高華柱,1946-10-02,None,None,政治人物,0
32,高揚昇,1952-07-11,None,男,政治人物,0
33,黃平洋,1962-11-13,None,男,政治人物,3
34,黃敏恭,1947-03-05,None,男,政治人物,0
35,韓國瑜,1957-06-17,Daniel Han（英文名）,男,政治人物,1
36,侯友宜,1957-06-07,None,男,政治人物,1
37,薛承泰,1956-04-03,None,男,政治人物,0
38,徐志榮,1955-07-31,None,男,政治人物,1
39,詹江村,1963-08-16,None,男,政治人物,0
40,趙少康,1950-05-06,None,男,政治人物,1
41,江宜樺,1960-11-18,None,男,政治人物,1
42,焦仁和,1948-11-11,None,男,政治人物,1
43,金溥聰,1956-08-30,None,男,政治人物,1
44,高思博,1968-10-31,None,男,政治人物,1
45,柯呈枋,1972-11-30,None,男,政治人物,0
46,郭榮振,1950-06-07,None,男,政治人物,0
47,李沃士,1960-04-01,None,男,政治人物,0
48,連勝武,1976-02-04,None,男,政治人物,1
49,賴峰偉,1953-09-20,None,男,政治人物,1
50,李德維,1969-09-01,None,男,政治人物,0
51,李柏毅,1981-10-09,None,男,政治人物,0
52,廖了以,1947-10-29,None,男,政治人物,1
53,林鴻池,1955-08-22,None,男,政治人物,0
54,林久翔,1963-09-29,None,男,政治人物,0
55,林佳新,1983-03-20,None,男,政治人物,0
56,林國春,1968-01-08,None,男,政治人物,0
57,林國正,1966-11-26,None,男,政治人物,0
58,林恊松,1962-01-28,None,None,政治人物,0
59,林憶如,1976-02-20,None,女,政治人物,0
60,林明溱,1951-02-13,None,男,政治人物,1
61,林正峰,1949-12-01,None,男,政治人物,0
62,林滄敏,1958-01-01,None,男,政治人物,0
63,林耕仁,1960-11-30,None,男,政治人物,0
64,林金結,1968-07-21,None,男,政治人物,0
65,劉增應,1958-08-24,None,男,政治人物,1
66,明居正,1953-06-20,None,None,政治人物,0
67,潘世偉,1955-07-27,None,男,政治人物,0
68,彭愛佳,1973-08-30,None,None,政治人物,1
69,潘維剛,1957-03-31,None,女,政治人物,0
70,邱復生,1947-07-19,None,男,政治人物,1
71,陳冲,1949-10-13,None,男,政治人物,1
72,戴錫欽,1966-10-28,None,男,政治人物,1
73,蔡育輝,1959-09-25,None,男,政治人物,1
74,蔡豪,1958-08-01,None,男,政治人物,2
75,蔡貴絲,1956-03-01,None,女,政治人物,1
76,曾獻瑩,1976-03-16,None,男,政治人物,0
77,曾銘宗,1959-01-22,None,男,政治人物,0
78,章天賜,1975-08-09,"砍侃,章魚",None,政治人物,1
79,施慧萍,1974-11-01,None,女,政治人物,0
80,汪志冰,1957-04-20,None,女,政治人物,0
81,王乾發,1949-03-19,None,None,政治人物,1
82,王家貞,1957-07-08,None,女,政治人物,0
83,王志雄,1952-06-24,None,男,政治人物,0
84,王惠美,1968-11-22,None,女,政治人物,1
85,王昱婷,1973-10-03,None,女,政治人物,0
86,王浩,1957-07-13,None,男,政治人物,1
87,王進士,1948-09-03,None,男,政治人物,1
88,王郁琦,1969-08-04,None,男性,政治人物,0
89,翁重鈞,1955-05-31,None,男性,政治人物,1
90,吳利成,1969-11-08,None,男,政治人物,0
91,伍錦霖,1947-10-06,None,男,政治人物,1
92,吳威志,1965-04-14,None,男,政治人物,0
93,吳志剛,1971-09-09,None,男,政治人物,0
94,吳志揚,1969-02-08,None,男,政治人物,1
95,吳怡玎,1979-11-13,None,女,政治人物,0
96,吳清基,1951-06-15,None,None,政治人物,0
97,吳育仁,1969-02-05,None,男,政治人物,0
98,吳育昇,1958-12-01,None,男,政治人物,1
99,吳青山,1956-03-12,None,男,政治人物,0
