,姓名,生日,aka,性別,職業,婚姻狀態
0,蔣乃辛,1948-09-24,,,政治人物,
1,陳筑藩,1946-09-25,,,政治人物,
2,蔡家福,1956-05-04,,,政治人物,
3,蔡錦隆Cai Jin-long,1958-03-01,,,政治人物,
4,張通榮,1949-02-04,,,政治人物,
5,張斯綱Szu-kang Chang,1971-09-09,,,政治人物,
6,"陳以信CHEN,I-HSIN",1972-10-31,,,政治人物,
7,"陳偉杰Chen, Wei-Chieh",1978-09-11,,,政治人物,
8,陳士魁,1952-04-08,,,政治人物,
9,陳威仁（小威）,1953-05-24,,,政治人物,
10,"陳根德Chen, Ken-Te",1956-01-18,,,政治人物,
11,陳樹,1954-03-10,,,政治人物,
12,陳炳甫Chen Bin-fu,1971-04-01,,,政治人物,
13,陳義洲Yi-chou Chen,1952-09-01,,,政治人物,
14,陳萬得,1953-08-10,,,政治人物,
15,陳裕璋,1955-09-18,,,政治人物,
16,江啟臣,1972-03-02,,,政治人物,
17,邱文彥Chiau Wen-Yan,1953-07-17,,,政治人物,
18,邱鏡淳Chiu Ching-Chun,1949-12-08,,,政治人物,
19,周守訓Justin Chou,1966-08-27,,,政治人物,
20,莊子富Chuang Zi-Fu,1971-03-21,,,政治人物,
21,朱立倫,1961-06-07,,,政治人物,
22,張麗善,1964-01-01,,,政治人物,
23,張慶忠,1951-12-14,,,政治人物,
24,曹壽民,1951-04-18,,,政治人物,
25,莊啟旺Chuang Chi-wang,1954-03-01,,,政治人物,
26,趙怡,1950-04-12,,,政治人物,
27,丁仁方Arthur Ting Jen-Fang,1959-06-14,,,政治人物,
28,范姜泰基,1970-09-12,,,政治人物,
29,費鴻泰,1954-07-07,,,政治人物,
30,高朗,1957-03-11,,,政治人物,
31,高華柱,1946-10-02,,,政治人物,
32,高揚昇,1952-07-11,,,政治人物,
33,黃平洋,1962-11-13,,,政治人物,
34,黃敏恭,1947-03-05,,,政治人物,
35,韓國瑜,1957-06-17,,,政治人物,
36,侯友宜,1957-06-07,,,政治人物,
37,薛承泰,1956-04-03,,,政治人物,
38,"徐志榮Hsu, Chih-Jung",1955-07-31,,,政治人物,
